source_id,ra,dec,parallax,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag
4166224384290800000,260.8223303250536,-10.604928937408655,1.2323540148506722,20.925745,19.621868,20.402853
4165880267216400000,262.09832526270833,-11.399053518298036,0.8280230144213359,20.713312,19.34481,20.025743
4166035577534400000,262.6491436081595,-10.646720992312224,0.353851382253328,18.876474,17.411839,18.21997
4165883398248000000,261.78605776817875,-11.478808698844949,0.8118413273310977,20.414705,19.044634,19.828636
4166038356374000000,262.50311488787673,-10.616827277248632,0.07282055480081953,20.339241,18.912004,19.652409
4165595875966000000,267.0598641095814,-8.371091939523186,1.5267486129328565,20.421408,18.470058,19.537727
4166045812433600000,261.87323235621955,-10.968620656366998,1.1998013688033493,20.660463,18.382198,19.455877
4166386081223200000,261.63234769431955,-9.805092394855583,0.5226167235022201,18.819324,16.942293,17.878271
4166047049384400000,261.848015712288,-10.90970349548805,0.3636877710362011,19.688648,18.33159,19.063797
4166388035426800000,261.6276418974757,-9.69846089780772,0.14076036148037974,19.836826,18.098303,18.987942
4166245167639600000,260.8641410822687,-10.369249353357144,2.447277259063946,21.511377,18.930569,20.218105
4165892155686400000,261.93151253639337,-11.334684274998123,0.4594533129673982,19.005116,17.346504,18.197807
4165728985580000000,267.43911321010813,-7.947384670382132,1.1217506855408923,20.677769,19.113338,20.025242
4166050485358400000,262.1109206281384,-10.865847742816355,0.8356668627651523,19.308191,17.36313,18.315983
4165897107784000000,261.7554543993977,-11.258329729273541,1.0333532772889766,21.095665,19.7459,20.521038
4165734551865600000,267.71358332648697,-7.856715206211129,2.47786066284087,21.09838,19.305084,20.671682
4166057907064800000,262.0857844679746,-10.698632848855627,0.32639875282820596,19.53836,17.984762,18.834286
4166254650922800000,261.7052559676243,-10.669699180789955,0.3612369857491004,19.554972,17.911818,18.785757
4165735578359600000,267.79190679222495,-7.795848822024175,1.5667359334879039,19.483368,17.011805,18.207907
4166060797574800000,261.84045245349563,-10.835086052003357,0.49851281308719836,20.576925,19.252499,19.884357
4166260148481200000,261.57694903528954,-10.566682794830326,0.2206749881534771,18.627464,17.031881,17.882961
4166262523602800000,261.74493365500314,-10.538866699656355,0.4382455972415657,21.282356,19.696901,20.610918
4166262729761600000,261.74068603084794,-10.529480363827123,0.6203549948940968,16.369379,14.769155,15.624243
4166399790760000000,263.0242751198935,-10.605431127501044,1.5312456842467113,,,20.397234
4166064061750800000,261.6155863804183,-10.808843139510873,0.45983009722133156,21.189396,19.935652,20.600819
4165906552412400000,261.1216489706903,-11.510412018110399,0.3022121142703989,18.472137,16.899887,17.736948
4166065019528000000,261.7320643635737,-10.791380641075929,0.7065699891122806,20.398804,18.390142,19.37892
4166066840594400000,261.76466911757166,-10.679143302510315,0.6498772531138197,18.486618,16.896605,17.927874
4165742312868000000,267.3955562529135,-7.8833399813744665,0.2869248749819634,20.568407,18.334326,19.382244
4165626073868400000,266.157029252824,-8.447319876234088,0.1573066207389455,17.021362,14.772197,15.839736
4166405460108400000,263.2384071199815,-10.460829991582926,0.5353458796026054,18.055996,16.504751,17.35799
