source_id,ra,dec,parallax
5988648827001869056,237.9099117000075,-43.849784401754775,0.31259692437688164
5988648827001872896,237.90791504373058,-43.848089972237396,0.4198164493721725
5988648827001873024,237.9107410022453,-43.84805779015014,0.42681837594344896
5988648827001873920,237.90362906221117,-43.84740377500947,0.5183808739402618
5988648827001874048,237.9015561272509,-43.84736046526712,0.35094043838835004
3739640462852986240,200.70089032646106,12.867025873186316,-0.14330290460180836
3739640497212724480,200.72068524721684,12.867378074616461,-1.232759691660591
3739640703371162240,200.71255149347533,12.88892879841717,0.27161234050477523
3739640742026694656,200.68093291625758,12.88679847585719,0.40618392136131576
3739640909529591040,200.741947402613,12.884555370536843,0.6321874879155175
3739640943889390464,200.76132049028425,12.898925038174552,0.4337363392803125
3739640948185125248,200.76137894162466,12.887981062782313,1.102375634140534
